id,name,folder,creator,type,database,source_databases,uses_uk,uses_de,uses_es,created_at,updated_at,last_run,last_any_run,last_viewed_at,view_count,archived,url,has_template_tags,has_alias_self_ref,table_count,tables,snowflake_keywords,snowflake_keyword_total,snowflake_keyword_detail,last_run_errored,last_run_zero_rows,dashboard_count,dashboards,total_runs,total_runs_6m,dashboard_runs_6m,direct_runs_6m,unique_users_total,unique_users_6m,total_views_6m,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
11556,Stock matching - listings to dealers - Modified,Matthew Wellings's Personal Collection,Matthew Wellings,native,Snowflake UK,"carwow, uk",True,False,False,2025-05-28T13:45:07.593572Z,2026-03-13T02:31:39.113917Z,2025-05-28T13:45:07.593572Z,,2025-05-28T13:45:08.535653Z,1,False,https://carwow.metabaseapp.com/question/11556,False,False,5,"uk.analytics.dealer_recs__stg, carwow.syc_listing_milestones.listing_milestones, carwow.syc_listing_milestones.listing_milestones, carwow.syc_listing_milestones.listing_milestones, uk.dealers_site.dealerships",3,10,"TO_CHAR:8, OBJECT_CONSTRUCT:1, LISTAGG:1",,,0,,229,0,0,0,1,0,0,0,0,0,0,0,0
10891,Stock matching - listings to dealers - MW,Matthew Wellings's Personal Collection,Matthew Wellings,native,Snowflake UK,"carwow, uk",True,False,False,2025-05-16T10:10:59.159885Z,2026-03-13T02:31:39.832475Z,2025-05-16T10:16:14.718612Z,,2025-05-16T11:19:26.101272Z,3,False,https://carwow.metabaseapp.com/question/10891,False,False,5,"uk.analytics.dealer_recs__stg, carwow.syc_listing_milestones.listing_milestones, carwow.syc_listing_milestones.listing_milestones, carwow.syc_listing_milestones.listing_milestones, uk.dealers_site.dealerships",2,4,"LISTAGG:2, TO_VARCHAR:2",,,0,,50,6,0,6,2,1,0,5,0,1,0,0,0
5388,Stock matching - no bids,Our analytics (root),Rafael Steenhoudt,native,Snowflake UK,"carwow, uk",True,False,False,2024-06-07T12:17:38.697992Z,2026-03-13T02:31:26.94445Z,2025-08-18T11:32:07.551034Z,,2025-08-18T11:36:17.292298Z,9,False,https://carwow.metabaseapp.com/question/5388,False,False,6,"uk.analytics.dealer_recs__stg, uk.dealers_site.dealerships, carwow.smc_dealers.salesforce_account_creation, uk.dealers_site.account_managers, carwow.syc_listing_milestones.listing_milestones, carwow.syc_listing_milestones.listing_milestones",4,6,"TO_CHAR:3, OBJECT_CONSTRUCT:1, DATEDIFF:1, LISTAGG:1",,,0,,25,0,0,0,3,0,0,0,0,0,0,0,0
17328,Stock Supply by Dealership - History,Carwow / Germany / OPS,Burak Yilmaz,gui,Snowflake DE,de,False,True,False,2025-09-30T09:26:07.80258Z,2026-03-12T23:37:41.548736Z,2025-11-25T07:51:38.401586Z,,2025-11-25T07:51:37.647668Z,5,False,https://carwow.metabaseapp.com/question/17328,False,False,1,admin_site.stocklist_imports,0,0,,,,0,,2,0,0,0,1,0,0,0,0,0,0,0,0
6443,Stocksupplydata - Over Time,Carwow / Germany / OPS / Stock/Used Data / General Stock Supply Performance,Burak Yilmaz,gui,Retool Database,retool database,False,False,False,2024-08-26T15:28:18.209375Z,2026-03-12T21:20:28.721496Z,2024-10-04T14:19:26.297608Z,,2024-10-04T14:19:25.829748Z,26,False,https://carwow.metabaseapp.com/question/6443,False,False,1,public.stocksupplydata,0,0,,,,0,,42,0,0,0,3,0,0,0,0,0,0,0,0
6539,Stocksupplydata - TV Dash,Sven Huybrechts's Personal Collection,Sven Huybrechts,gui,Retool Database,retool database,False,False,False,2024-09-17T08:09:01.413963Z,2026-03-13T02:31:36.735707Z,2025-10-22T09:47:13.227533Z,,2026-04-21T07:23:36.003951Z,230175,False,https://carwow.metabaseapp.com/question/6539,False,False,1,public.stocksupplydata,0,0,,,,2,"Stock Sourcing, Stock Sourcing - TV Dash",230193,8,8,0,13,1,8,1,2,3,2,0,0
6454,Stock Supply Fibich Dashboard,Carwow / Germany / OPS / Stock/Used Data / General Stock Supply Performance,Burak Yilmaz,native,Retool Database,retool database,False,False,False,2024-08-28T13:50:05.137608Z,2026-03-12T21:20:13.999217Z,2024-10-18T07:02:05.763825Z,,2026-06-23T23:16:47.619156Z,2807,False,https://carwow.metabaseapp.com/question/6454,False,False,1,stocksupplydata,0,0,,,,0,,6342,4079,0,4079,4,1,649,167,118,2443,1225,68,58
9476,Stock Supply (New & Used),Carwow / Germany / MARKETPLACE,Mohamed Lolieh,native,Snowflake DE,"carwow, de",False,True,False,2025-03-31T14:20:08.474269Z,2026-03-12T21:43:32.994207Z,2026-06-24T09:27:41.131351Z,,2026-06-24T09:27:40.981604Z,124193,False,https://carwow.metabaseapp.com/question/9476,False,True,3,"de.business_performance_metrics.commercial_bpm, de.dealers_site.dealership_dealership_tags, carwow.gyc_pricing.daily_live_deals_history",1,2,DATEADD:2,False,False,1,Commercial Dashboard,124251,232,209,23,20,11,224,45,40,43,26,40,38
7664,Stock/Used Enquiries / Day,Burak Yilmaz's Personal Collection,Burak Yilmaz,native,Snowflake DE,"carwow, de",False,True,False,2025-01-28T07:43:58.520487Z,2026-03-13T02:40:53.771468Z,2026-06-24T06:29:11.717916Z,,2026-04-29T08:54:58.304372Z,325,False,https://carwow.metabaseapp.com/question/7664,False,False,2,"de.enhanced.enquiries, carwow.gyc_pricing.deals",0,0,,,,0,,27,1,0,1,1,1,1,0,0,0,1,0,0
7665,Stock/Used Enquiries / Day,Burak Yilmaz's Personal Collection,Burak Yilmaz,gui,Snowflake DE,,False,False,False,2025-01-28T07:45:39.453619Z,2026-03-13T01:47:48.248245Z,2026-06-24T06:29:11.717916Z,,2026-06-24T06:29:11.677011Z,714,False,https://carwow.metabaseapp.com/question/7665,False,False,1,question:7664,0,0,,,,0,,474,155,0,155,2,2,155,23,29,30,28,18,27
