dashboard_id,dashboard_name,dashboard_folder,question_id,question_name
3235,Auction Performance,Carwow / UK / SMC Trading / Laura B,19441,Gross Sales
3235,Auction Performance,Carwow / UK / SMC Trading / Laura B,19442,Net Sales
3235,Auction Performance,Carwow / UK / SMC Trading / Laura B,19443,Total Auction Bids and Bids Per Listing
3235,Auction Performance,Carwow / UK / SMC Trading / Laura B,19444,Fees
3235,Auction Performance,Carwow / UK / SMC Trading / Laura B,19445,Uploads by Mileage Band
3235,Auction Performance,Carwow / UK / SMC Trading / Laura B,19446,Uploads by Age Band
3235,Auction Performance,Carwow / UK / SMC Trading / Laura B,19447,Valuation Band
3004,Auction Success,Carwow / UK / SMC Trading / Laura B,17392,WTD Completed Listings
3004,Auction Success,Carwow / UK / SMC Trading / Laura B,17394,WTD Uploads
3004,Auction Success,Carwow / UK / SMC Trading / Laura B,17395,Uploads by Day
3004,Auction Success,Carwow / UK / SMC Trading / Laura B,17397,MTD Total uploads
3004,Auction Success,Carwow / UK / SMC Trading / Laura B,17398,MTD Total daily uploads
3004,Auction Success,Carwow / UK / SMC Trading / Laura B,17399,WTD CL2U
3928,BAM Pausation Tracker,Burak Yilmaz's Personal Collection,28315,BAM Pausation Tracker - BAM Pausation Reasons
3928,BAM Pausation Tracker,Burak Yilmaz's Personal Collection,28282,BAM Pausation Tracker - BAM Comments
3202,Black Friday DE,Our analytics (root),19240,Black Friday DE
3202,Black Friday DE,Our analytics (root),19241,Models
3202,Black Friday DE,Our analytics (root),19242,DE Stat
3202,Black Friday DE,Our analytics (root),19307,bf
3202,Black Friday DE,Our analytics (root),19308,Unique Dealers
3202,Black Friday DE,Our analytics (root),19603,"Zyte Vehicle Scrapes, Sorted by Scrape Week descending"
3202,Black Friday DE,Our analytics (root),19669,EV Cars DE Black Friday Sale & RRP
2509,Brand Performance,Philipp Absmeier's Personal Collection,13168,Configs DE
2509,Brand Performance,Philipp Absmeier's Personal Collection,13335,DE 2024 CEs per Make
2509,Brand Performance,Philipp Absmeier's Personal Collection,13366,Brand Insights DE 2024
3565,Cancellation Reason by Month,Our analytics (root),22078,Cancellation Reason by Month
3565,Cancellation Reason by Month,Our analytics (root),22079,Raw Cancellation Rate by Month
3400,Carsa Listing Info,Our analytics (root),20923,Carsa Listing Info
1,Code quality ,Carwow / Engineering,3,Code quality by Repo over time
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9473,DE: Supply Health Tracking_ Sites
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9474,DE: Supply Health Tracking_ Stock Dealers
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9475,"DE: Supply Health Tracking_ Sites, Filtered by DATE is yesterday"
